iter	MultiClass
0	1.44475047
1	1.242714975
2	1.095507873
3	0.9754070422
4	0.8770530389
5	0.8012766281
6	0.7337919751
7	0.677817595
8	0.6275756349
9	0.5824627685
10	0.5446429761
11	0.5098285053
12	0.479767051
13	0.4516841581
14	0.4262860391
15	0.4055202978
16	0.3839782382
17	0.3656699752
18	0.3486088857
19	0.3327552847
20	0.319044853
21	0.3062383723
22	0.2942540934
23	0.2832858027
24	0.2733588531
25	0.2644149266
26	0.2552022356
27	0.2474202247
28	0.2414226502
29	0.2362810245
30	0.2298761349
31	0.2231521842
32	0.2176279687
33	0.2127376853
34	0.2073848699
35	0.2013149899
36	0.1955842072
37	0.1913395776
38	0.187841684
39	0.1836933077
40	0.1806273304
41	0.1761894617
42	0.1737572151
43	0.1717586536
44	0.1689932842
45	0.1663448184
46	0.1636036669
47	0.161166329
48	0.1593306083
49	0.1566951756
50	0.1539191522
51	0.1508581726
52	0.1481434631
53	0.1460036095
54	0.1437585878
55	0.1420848232
56	0.1408692767
57	0.1385237505
58	0.1371013574
59	0.1355877242
60	0.1333272253
61	0.131684437
62	0.1302627788
63	0.1279833667
64	0.1266645036
65	0.1247867312
66	0.1235275035
67	0.1223605691
68	0.1203902579
69	0.1194009024
70	0.1181347803
71	0.1170368034
72	0.115159969
73	0.1130558593
74	0.111779253
75	0.110368425
76	0.1094246785
77	0.1084438714
78	0.1070125389
79	0.1061634708
80	0.1051861407
81	0.1041865472
82	0.1031163244
83	0.1021243535
84	0.1008294026
85	0.09981117126
86	0.09899426314
87	0.09806209448
88	0.0970471692
89	0.09625378718
90	0.09575706759
91	0.09465402094
92	0.09384206872
93	0.09287996762
94	0.09181672788
95	0.09105192521
96	0.09018405338
97	0.08919861799
98	0.0882170752
99	0.08767455693
