iter	Passed	Remaining
0	508	50296
1	771	37801
2	1056	34173
3	1347	32330
4	1626	30906
5	1924	30143
6	2194	29149
7	2476	28476
8	2751	27821
9	3021	27191
10	3295	26660
11	3590	26329
12	3881	25978
13	4151	25501
14	4431	25111
15	4705	24703
16	4974	24285
17	5257	23951
18	5537	23608
19	5812	23251
20	6084	22888
21	6357	22541
22	6635	22213
23	6903	21860
24	7183	21551
25	7443	21184
26	7722	20880
27	7992	20552
28	8281	20274
29	8545	19938
30	8819	19630
31	9064	19262
32	9307	18896
33	9554	18546
34	9834	18264
35	10107	17968
36	10369	17656
37	10634	17351
38	10917	17076
39	11207	16810
40	11481	16522
41	11791	16283
42	12058	15984
43	12336	15700
44	12607	15409
45	12882	15122
46	13149	14828
47	13428	14547
48	13711	14271
49	14000	14000
50	14252	13694
51	14514	13397
52	14798	13123
53	15063	12831
54	15344	12554
55	15597	12255
56	15874	11975
57	16135	11684
58	16411	11404
59	16692	11128
60	16955	10840
61	17212	10549
62	17466	10258
63	17728	9972
64	18009	9697
65	18284	9419
66	18558	9140
67	18832	8862
68	19093	8578
69	19357	8295
70	19636	8020
71	19927	7749
72	20197	7470
73	20494	7200
74	20768	6922
75	21032	6641
76	21316	6367
77	21597	6091
78	21871	5813
79	22146	5536
80	22422	5259
81	22689	4980
82	22950	4700
83	23211	4421
84	23494	4146
85	23753	3866
86	24009	3587
87	24267	3309
88	24524	3031
89	24790	2754
90	25053	2477
91	25328	2202
92	25606	1927
93	25862	1650
94	26118	1374
95	26370	1098
96	26619	823
97	26898	548
98	27160	274
99	27420	0
